Layer,U,V,Constant,Constant_Error,MPV,MPV_Error,Sigma,Sigma_Error,Chi2,P,NDF
0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,3,7.487456791049016,3.4395203069200595,6.131415652976813e-09,4.889206606576957,0.4074889778055356,1.0076286626020567,1.494034475650835,0.8276976571732975,4
0,0,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,0,8.929842895096726,3.735051137952723,0.2521360179506002,0.17222019743280054,0.14504219559460269,0.1517543108499745,1.4234618173434956,0.8401071608673192,4
0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,2,8.192811149986438,4.079391145620007,0.23703335857355595,0.18896463004669378,0.15689093652393823,0.21610810697674018,2.2482532417459113,0.8138362581212502,5
0,1,3,16.423485876126605,9.640547421571162,0.13974405920950728,0.033885978350732676,0.03565480206639643,0.024232829838372605,1.6840180558414324,0.8909070286461944,5
0,1,4,7.372685152878511,3.9109031508366425,0.3987969422759505,0.398559606429017,0.36875417123600496,0.7843641276680542,1.965272212706319,0.9820580478979212,8
0,1,5,5.591206848274553,2.0256495823663423,0.30352048454963365,2.5026051435148275,1412.5530618584307,6655602.177244899,1.52761158222957e-08,1.0,7
0,1,6,6.933253463694348,5.724326118136541,1.2959949406638764,1.747538194036684,1.2697953573351728,3.4727083966267007,1.671941244907472,0.9956589241425762,9
0,1,7,27.38307230493375,24.122174685221424,0.10418003568196027,0.033360369844044474,0.03431078454430444,0.028663747658152113,2.0973936908598914,0.5524402173669696,3
0,1,8,10.388698340057449,4.912025835625286,0.18999920586748764,0.057314069143607205,0.06677664514853805,0.047161783398157485,2.654315985052357,0.44804672138086665,3
0,1,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2,1,7.738179058472944,20.893685213821847,0.010060275694321053,4.535344631527922,0.3502102722047903,3.0105475414907494,1.490646618784282,0.9601134499089566,6
0,2,2,5.590878985465472,2.3270249402176644,1.444331153369654,4.099726850665137,2059.0667062720217,127925923.24161655,1.3716842878754849e-09,1.0,9
0,2,3,20.264767052181305,7.6085227234372015,0.17933976632836107,0.04478469023203868,0.05438291437916376,0.02955554223908046,1.8519791351266364,0.603689537724792,3
0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2,5,7.739974306240542,3.9978093365790723,4.39560680742801e-06,3.669718921264089,0.39814146778026466,0.9394675689652925,1.4770887543034132,0.8306920097351991,4
0,2,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2,7,14.15081697514302,5.910256822718966,0.15303164160683752,0.042594506905724444,0.05344214957564101,0.03331681052690951,2.874884594391932,0.5789766985430114,4
0,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,2,9,13.284224697747963,5.95447994114979,0.1926188118400321,0.06602453766020672,0.07523213931567244,0.06176710177234108,3.681717973607318,0.931085747788613,9
0,2,10,7.332115518053513,3.297445075003487,0.2992139362873075,0.3153992481980912,0.2773693036621553,0.45489354073559457,1.4915748479934332,0.9600522480722342,6
