Layer,U,V,Constant,Constant_Error,MPV,MPV_Error,Sigma,Sigma_Error,Chi2,P,NDF
0,0,0,7.079975959640101,3.3391951614986737,0.32804074500867836,0.34849567974908763,0.2794440760685357,0.5954531778201603,1.5517543831461575,0.9559828674485618,6
0,0,1,9.411086198667551,3.9176724284403157,0.37594137850224474,0.47057518608420823,0.3255790988393322,0.5867717586145068,1.4755596368022434,0.830961773032429,4
0,0,2,6.645666578995117,2.2046818318710644,2.0942743647611728e-05,2.9240101960523748,1.6072905719466317,5.614407510210975,2.431637575219213,0.9648425592801984,8
0,0,3,7.5273069517834195,3.238071744103895,0.2700683296744377,0.2997053376861042,0.2355152896341618,0.4761472076502524,1.826745934197017,0.9688043347171821,7
0,0,4,7.467290277078501,3.080533430030869,2.6595392554895625e-12,3.7513673759673773,0.5956466194576362,1.405891196581871,4.068592027071729,0.6673943968645215,6
0,0,5,9.083989040898075,6.120536195462616,0.20478302362716527,0.1354359580775541,0.10364507919224583,0.17898358323962316,1.7084519596987624,0.7891817479321519,4
0,0,6,6.605181078868709,3.1282881575337704,4.5894248623667977e-07,4.759514934624413,0.8602017008912578,2.8542615424978948,2.1326325752797315,0.9521359447805811,7
0,0,7,6.807841966211361,3.292058757376689,0.5156814295138554,0.7045453504990145,0.459514556358955,0.9699429250842421,0.8290341570160062,0.999114967381933,8
0,0,8,21.633553566310507,8.257533404635952,0.14053086982244084,0.027656447429323938,0.046184334109562936,0.020063753402859395,2.531081648520192,0.7718070109273014,5
0,0,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,0,7.739304789529098,2.036504300831832,2.253000008778372e-09,4.990209596287674,1.4470791911581509,3.1025683871609253,12.31152404304955,0.4209962124314344,12
0,1,1,15.664103641810902,4.95043340376932,0.18160851284215074,0.035036033080414336,0.07849285817260047,0.03192112646932213,9.813730507168701,0.632297995478208,12
0,1,2,33.07465449149917,10.623256955200118,0.15707096933331277,0.012729601373157873,0.024786793530982523,0.007440331777693765,5.502089243313088,0.7885299754221026,9
0,1,3,45.85844276531634,14.160625765687396,0.1435173061499051,0.008082933381800966,0.017132181748022814,0.004189515689468269,11.725692632023168,0.6283211986939898,14
0,1,4,47.28140404552199,13.790651887876235,0.1616596380928878,0.013757202614790714,0.025816310692901107,0.00799543290605827,7.643944979942579,0.6635706793985758,10
0,1,5,37.149083080610616,11.78743667776056,0.1437364546073952,0.00925526708022456,0.02012698905487266,0.005520879151357145,10.514125991669927,0.5709511791848101,12
0,1,6,48.65917519928767,13.325420603627125,0.146174846085802,0.008636034278555332,0.02017727270709229,0.004883778293317891,3.9584322241014265,0.8608542300729114,8
0,1,7,58.417288531593336,15.707498078398856,0.14301201311040068,0.007050437841939483,0.0162722516030262,0.003417870186902404,18.2545652291153,0.148090784085676,13
0,1,8,102.93268487681624,61.65039873159738,0.11159645021194542,0.011022259526912576,0.016944262635431067,0.006530355218554573,9.031864253250108,0.6189509993121538,11
0,1,9,28.805817184294376,13.174374916802924,0.14166302113311963,0.020096403327540674,0.03260509032956426,0.013824594768610365,11.037724069860024,0.6830699209398193,14
0,1,10,15.792379515887953,7.031419923596695,0.1655192601089539,0.03439166838653876,0.062212249772903884,0.041532883714917,7.050989092124162,0.6318105980976,9
0,1,11,19.221527822067497,9.210404450245253,5.207746178736983e-09,0.7499006886354181,0.09760430059875101,0.060599715289444266,6.944737451616705,0.7306515770503338,10
0,1,12,7.9261303136811305,3.0601122605209294,4.485017426086868e-05,4.996490325931051,0.4340711919155917,0.8624873385754535,1.288363183538013,0.9887480711411001,7
0,2,0,120.37678086420162,32.40508314583121,0.15857425474629344,0.004226223989429734,0.013754084505132392,0.0031302701264023973,6.228715619422619,0.7168271728042963,9
0,2,1,135.5410673697084,39.058666804387094,0.15662555113558324,0.003795449266349449,0.012585784040134733,0.0029483463508898416,15.209325475061345,0.363996838087294,14
0,2,2,50.57569826038966,14.572889888024894,0.15432796645044128,0.009732117768905812,0.024488402579778093,0.006692654854547819,17.389688045449528,0.1820965629541448,13
0,2,3,84.34468787126431,22.21181706419765,0.13586171747219294,0.005647653265247604,0.0138042721787881,0.002735289402934438,13.214173154724605,0.43140783027917845,13
0,2,4,74.24223420500384,41.50325845610356,0.11674437114911007,0.012522455681165529,0.01913168317513208,0.007145360137339208,11.115002199923211,0.4336796873665071,11
0,2,5,52.81881880894206,12.742484875904864,0.14888545677658294,0.0074710695656393655,0.020147684367287148,0.003649483923428949,16.926881256174738,0.11005710629968134,11
0,2,6,21.88083554057938,7.663663602691586,0.1613327989154409,0.028735147253076687,0.06885004031681538,0.033601615584783764,10.559329385146134,0.7202542881058827,14
0,2,7,57.21330922771721,14.365729440777416,0.15251743567566756,0.00814652853700179,0.02442068838346096,0.0056526484145257,17.815314683674316,0.08596608474116224,11
0,2,8,63.62546746839678,18.28937508535234,0.15595714772631275,0.010493937042824336,0.027035211532809807,0.007897545149302113,10.558833920629468,0.6477217266627883,13
0,2,9,54.85212876797313,14.142178684141903,0.14502855438423862,0.0075317956587935,0.01908395293782533,0.004005179411482296,7.4707845029494715,0.5882263007569003,9
0,2,10,64.27614276922016,30.896552706922204,0.15769472771260395,0.006572960329317423,0.014834454462107549,0.0071735255791366154,13.53381723480438,0.3314622145673676,12
0,2,11,55.63577444883335,13.340985745555106,0.15212861822439,0.008213249179881976,0.022539195009940477,0.004626373211199074,8.099706156833822,0.7043454229353506,11
0,2,12,34.53854263276279,14.955054463681341,0.16373047963682608,0.008715850678068515,0.015449813938861117,0.005664442408543481,12.90114677763947,0.3762665568147109,12
0,2,13,12.231203066443213,6.3133272808905945,1.103516281131256e-07,3.0952240253297867,0.19902424065577756,0.17627326211675162,2.676700424971788,0.9757477749703588,9
0,3,0,212.6340802001281,48.33643719858146,0.1589708026853376,0.0035974302139737957,0.012210383232443828,0.002222497035164369,14.23135892084625,0.43262074612224544,14
0,3,1,203.1605972205678,35.191831077153644,0.16229927122244275,0.0032917170258088546,0.014285871116902963,0.0018869121731352246,11.988543537224734,0.800830456617589,17
0,3,2,193.35986076165295,34.257255299438015,0.16458212195692962,0.003620924155166849,0.017648486886479374,0.0027079463336516425,12.575890689846629,0.76408207794362,17
0,3,3,262.97986895769293,69.17620013620436,0.1523076543173696,0.002345418464493876,0.011513609812757999,0.002604409786350811,15.583238505507214,0.4102770023768782,15
0,3,4,128.87986141755817,21.558188062423696,0.14760288854255732,0.004826681071685296,0.018941772126050947,0.002465632899920918,15.74783653863996,0.5417761981067888,17
0,3,5,118.13474672248631,21.79282007928532,0.13943985899396438,0.004654646373082744,0.017617118857343593,0.002459700084994028,14.642715718638437,0.47744585188770283,15
0,3,6,140.17033892004991,27.628129426760648,0.1354929746437339,0.0041146619881263224,0.014569416654509646,0.0021298691947426404,17.631341339385393,0.4124470322242667,17
0,3,7,148.14101827800155,26.760700957152547,0.13673523763849837,0.003989304802459043,0.014934493544819512,0.001959730094946031,22.39457972694509,0.13090187932694905,16
0,3,8,111.70406573242761,21.668770116903108,0.1384855855083003,0.004757883713388811,0.018171643277182393,0.0028226743905255666,20.502045366678672,0.24935870218243938,17
0,3,9,129.39563419104593,25.674540794957743,0.14400209721730284,0.005586424492265291,0.018550295122877977,0.0032218633630545033,12.050854561521698,0.8446008354157172,18
0,3,10,158.4441145708828,45.76652941445314,0.12804262892696372,0.004252759338022188,0.00994339940316859,0.00199081088556022,20.999209858146145,0.10165275062555117,14
0,3,11,74.817861139256,18.03809901948881,0.1373415102618994,0.0059177957180618634,0.01561764081479117,0.0029371045944096446,13.013891990312935,0.22289613749568554,10
0,3,12,15.978025444890678,10.78734644533502,0.14491675515842684,0.056340344924298846,0.06776787848874229,0.0639191061409773,16.141749193684248,0.5138092960029763,17
0,3,13,14.598579622169698,5.954496745189582,0.19820620443205705,0.05547125835459424,0.08521677530397624,0.049725775195401355,5.8693727642651,0.7529175254804369,9
0,3,14,8.063319734148664,3.1735876423965066,3.247120433647055e-08,3.7173316784997112,0.5905290207136907,0.8145689875776638,3.3495889415723723,0.9719603804333052,10
0,4,0,173.1160843214339,36.289225998804376,0.16115795020735374,0.0037232281870605566,0.01491800439314877,0.0026776709167618358,20.13167753711653,0.2143484226711809,16
0,4,1,197.16095140985198,34.185728313641555,0.16123338310979063,0.00327250057435044,0.015727681814440075,0.00223533808553193,9.71297819509983,0.8811812128316941,16
0,4,2,593.1646310843876,314.044047913689,0.14813955243223265,0.0028560746298360307,0.006455671999254475,0.0020684135829267883,25.30617247192889,0.1899677548964915,20
0,4,3,272.4796389334011,29.76013237461094,0.14910962091854718,0.003219871466098867,0.01861663250220413,0.0015121409458971496,16.377002086885565,0.4269727155567548,16
0,4,4,317.11217014295437,32.136488708631646,0.14770350165101948,0.0032619136085310085,0.01748890730184983,0.001270468914009696,27.932310566957227,0.06309277686870562,18
0,4,5,322.9648642446109,33.26701679791454,0.14694946603005216,0.002960950223748343,0.016632320152105487,0.001245327241109972,36.885321356183184,0.024350362599334655,22
0,4,6,355.4508661897551,37.07652657305721,0.1404672869466142,0.0026615681437028305,0.015951517100899922,0.001159775611708216,27.793362150226134,0.14610974466984822,21
0,4,7,265.61042655561863,34.883414075931675,0.14054489624169275,0.0031298407039424825,0.016191036795632784,0.001594463633467519,36.505192583979216,0.02678693412200947,22
0,4,8,290.5527818397808,36.596857817096705,0.1349205210365137,0.0027698040091611587,0.01641327540785423,0.001570344063662075,20.21627034685696,0.3816713258905653,19
0,4,9,268.44542603207526,35.11248149503335,0.1344687485373991,0.002843566885924187,0.01532424255302955,0.0014513367925012707,35.3483270540659,0.012676652505923133,19
0,4,10,306.4833310333623,40.92963652379751,0.13460583237646984,0.002763810354006885,0.015125071903074454,0.0015520980679693222,22.38460462218633,0.13120161063976157,16
0,4,11,134.85209643888402,23.08801223636569,0.1405553496758566,0.004367879918791978,0.01830969032393052,0.0024170427609053347,21.71323878435757,0.24496562164845584,18
0,4,12,117.81772099537986,22.46368960690803,0.14567504402175468,0.005238840383556265,0.01860766465552766,0.0028476672861400877,19.93712273605416,0.4618691336425734,20
0,4,13,77.47588249465237,16.621943653867845,0.15560065454486682,0.009367549300354633,0.023317328261652465,0.005223007243200563,8.111412881364993,0.7032902172938587,11
0,4,14,14.127832454851259,5.53693640643795,0.1908039445681728,0.05668647999459722,0.1012459471716078,0.06515792253412268,10.589183911061882,0.6451898377146742,13
0,4,15,38.43907603148232,14.268588265057298,0.14904616547007893,0.014662674064342962,0.023635170690711062,0.010313174831528313,3.0309133055619264,0.8049570042348551,6
0,5,0,163.57871246762554,29.65104552484665,0.1667500236970687,0.0042439709862532315,0.01853525423938394,0.002999615785253348,9.582058662126913,0.7920572575069551,14
0,5,1,296.260398371772,85.02327312027087,0.1527877465510158,0.002521216287194733,0.010766946130888279,0.0024982821707399774,12.871320725389134,0.6122364693035528,15
0,5,2,324.23423873961303,53.18364692551859,0.15625532497836603,0.0022333634219472154,0.012900758616423267,0.0016746904468508204,36.65386073645951,0.012871366017629681,20
0,5,3,500.2082898581606,113.10512998168379,0.15160273810681163,0.0018290408636202626,0.009747876147774826,0.0016700306151263544,19.73593067085871,0.41062280046493627,19
0,5,4,487.46235288646983,87.3942004830093,0.1507491139887232,0.0015990662219785012,0.011896182157651144,0.0019123806220955886,34.33337880216857,0.04541967513141998,22
0,5,5,525.5191142045737,42.81792948968916,0.1456363826248841,0.002263384084626313,0.01756856869214356,0.0010217489486552527,25.316926927169956,0.282160307012718,22
0,5,6,869.4673765682496,61.61933965717017,0.14052901934806045,0.0017355818510896015,0.014862224042314364,0.0007505546365624186,35.839208279210574,0.031592741675467474,22
0,5,7,974.4206326745357,67.73668132888824,0.13687436109424161,0.0015339458297808362,0.014432490317237695,0.0006971819544543008,72.52057539648618,1.3599998406050034e-05,29
0,5,8,934.3685962576963,63.80775482188971,0.13955088260441922,0.0016266433222454635,0.015515708387740194,0.000757909271068356,46.66837591740699,0.01076951763413364,27
0,5,9,939.3485827523558,68.97560750900765,0.13700050902785477,0.0016227422582104634,0.014869635498120199,0.0007977507923860029,22.14393256692645,0.6274195519220067,25
0,5,10,833.9894618653044,73.24675219701318,0.13309710816752945,0.0016556440101239689,0.01372091221162213,0.0008914587712561194,41.66341107152913,0.014070524739227716,24
0,5,11,625.9654669129999,66.50885663176854,0.13120848060168583,0.0018669896169348776,0.012658037349610369,0.0009674130487901881,32.8067105875611,0.04840482735858914,21
0,5,12,276.18380122303813,34.02783431863877,0.13864355829002223,0.0029487433145646003,0.015597164581485932,0.0013693581782950603,24.339556816627756,0.18344816612313966,19
0,5,13,155.50062498215496,25.95684655743397,0.13783593909169084,0.00400243969899669,0.01686539729377937,0.00215606989738245,16.66552408593562,0.4075533695088626,16
0,5,14,91.35158948106755,19.602893187720202,0.13874273807970544,0.005471321737206825,0.017613993905606317,0.003096941723557725,7.943218274183034,0.539878457567871,9
0,5,15,28.948367552060287,9.525267367681222,0.1524644004880399,0.02194904402604142,0.03693397361532164,0.014971256225049738,6.515633160436306,0.48098819438516693,7
0,5,16,31.53966005549949,9.892078564543723,0.16856594504747024,0.02427702946401336,0.046537710882115245,0.016361959205096165,4.7706594373127595,0.9417624426832525,11
0,6,0,187.01544425990332,30.107524953155735,0.1687384652806584,0.0038430442340896265,0.015344197683257258,0.001897373640929732,13.581962385443612,0.5574406261258424,15
0,6,1,235.82526297195045,51.430530209068195,0.15867469151160496,0.003320423780252685,0.015412023543912209,0.0032690484147743144,20.658988298477,0.14808311009935385,15
0,6,2,384.2383426178258,87.21753631830107,0.1543948300181755,0.0024688624084269473,0.011249921119671179,0.0021140618017740664,16.694310450201943,0.2728343538179456,14
0,6,3,406.1005161547473,79.53282897866809,0.15482791475107976,0.002073653983232643,0.012901277414399955,0.0021941205469072095,23.546061601605327,0.3155685292298373,21
0,6,4,409.1985580085232,38.51116815617908,0.14388489701606832,0.0025086913307811876,0.016938440234868606,0.001136067534938546,37.28833706504388,0.040944974552389164,24
0,6,5,530.2265826293383,43.17585035404616,0.14559008229658527,0.002220344578699046,0.017328997114326217,0.0010055965120503065,30.093879332395705,0.22079306273607394,25
0,6,6,872.7637452125305,59.92559130405258,0.14050012622010388,0.001681241892602242,0.016430826978400884,0.0008118455708703939,36.07003116613633,0.14082312355513407,28
0,6,7,1414.4848734865716,79.92782232464484,0.1383757514083217,0.0013109948249746817,0.015187317439369257,0.0006080767744723842,66.22740319052185,0.0005248914207698557,33
0,6,8,2377.927372101654,98.72728074288219,0.1409251203731618,0.001020647671252789,0.015586807591778634,0.000454328426859018,102.27875645424244,1.6442046738754195e-08,35
0,6,9,4958.414878044197,154.13956055334458,0.1391163204058507,0.0007151750563103021,0.015792093859744512,0.0003630556675996793,146.6638112953942,2.193472607258283e-14,39
0,6,10,4790.3740757381365,153.7504756811969,0.13974474523473834,0.0007452863892565276,0.015980183659820128,0.00038584172265540236,194.5652287265374,1.674263455997413e-21,42
0,6,11,2530.4300833888324,117.54439492544427,0.13515817774173988,0.0009569163923515978,0.014376278223946387,0.000485546783578591,74.39310786616076,1.2232837026478442e-05,30
0,6,12,1007.0175845638294,74.18449497133427,0.13481248932569717,0.0014987955754540427,0.01452177911647134,0.0007817500120934712,50.54907154778854,0.002702094751117093,26
0,6,13,361.70922359431114,41.88328120130113,0.1375660339386356,0.002586632578217285,0.01509287496497518,0.0012757797031798415,27.585924323307957,0.18981279716347407,22
0,6,14,162.07853652998853,26.216034569525117,0.14231834728190174,0.004166379910154894,0.016130514731847876,0.002003617015526569,21.21147149373172,0.3847808333746185,20
0,6,15,63.30014159634355,16.50455906008633,0.14189256753235346,0.006861581966618874,0.021725051349579614,0.005033024060169731,9.803009681917338,0.6332376984654833,12
0,6,16,64.2905449209015,23.78874700461262,0.12432395601070262,0.012437032085285127,0.022977622676182793,0.006523660727423053,6.875621457435188,0.4419441186267937,7
0,6,17,7.186171608624522,2.5223199608799454,8.625653663552058e-08,4.976505851242459,0.7162471409452055,1.3440053055206342,4.563205165399918,0.9835941854861687,13
0,7,0,178.36327225368584,34.74135175639925,0.16530297484135176,0.00395073169693283,0.015855093744255217,0.002533947717264638,17.848963721485816,0.7149047533235913,22
0,7,1,546.995469930375,191.7908678469479,0.15043166964350152,0.0025671031684683376,0.007496030166580403,0.0016976486963407279,28.575549961764484,0.026960346690081138,16
0,7,2,386.5313365633494,64.05153431134626,0.15672308442438637,0.00222285434622424,0.012359311104103526,0.0016082257151836088,31.83811234748271,0.10355723807462194,23
0,7,3,447.3436057562581,97.05922793458087,0.15551591779887075,0.0024444899626593908,0.011366256846340081,0.0019698604683179694,28.234413463576775,0.1336274407044283,21
