Layer,U,V,Constant,Constant_Error,MPV,MPV_Error,Sigma,Sigma_Error,Chi2,P,NDF
0,0,0,23.854176741419028,11.462104436196293,0.16338905322589803,0.02753610821121716,0.029472668188287962,0.01742635198298138,0.748574668102003,0.6877792610331699,2
0,0,1,8.353187822787133,4.536986305920401,0.23994225074052772,0.2538625947747569,0.1956707914688362,0.5675163862358907,2.6751451166774474,0.9133415349783494,7
0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,3,7.378202635309859,2.252316401993507,2.7162931098834164e-06,4.845750526142877,1.1512121140668659,2.857476906499651,2.1748598360952327,0.9751763182917059,8
0,0,4,15.48005114073244,7.603753673721095,0.14745363419011198,0.07718162026361233,0.08702793400472353,0.09318570667402024,0.6253827896108993,0.8905977651834353,3
0,0,5,7.44151695317391,3.271205143118863,3.695237321688083e-07,4.917191247013047,0.3876909633982507,0.9927290855550566,1.107982204271167,0.9811857541396897,6
0,0,6,8.334209534346344,4.314507803563449,0.2008488166594702,0.16294794624613654,0.1354945086276829,0.18431867678190889,1.3352152259941232,0.8553730574183793,4
0,0,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,8,7.26910898146549,3.469685911470219,8.784791894755895e-06,4.936416026247114,0.31262642519435746,0.8561365440915701,1.5569276642661276,0.9064083586279525,5
0,0,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,10,17.723828034987033,9.710109779809466,0.13670804226383643,0.0730032920185128,0.06555736990383045,0.045860771912910055,1.294220612040237,0.5235565110279422,2
0,0,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,0,10.390835814603353,3.9863613359809156,0.22620077141434547,0.13991439564236402,0.15838421974333605,0.15980619485796727,5.0106524415152025,0.7564369800648908,8
0,1,1,8.578999203277736,4.446754767374969,8.678371438142207e-08,3.448320872791259,0.2914890810337396,0.4610588995194531,3.9225021465316527,0.6871632851038054,6
0,1,2,15.629428426583242,10.723727348446122,0.11635775536499582,0.02932448542089794,0.047153615632388395,0.03655862628857584,4.196755139886572,0.8979917027977556,9
0,1,3,8.516406058049933,4.484617523986908,2.2003046218355138e-07,3.5516039410542586,0.41109386671941284,0.8555341603362231,7.525773215442038,0.7550485471166035,11
0,1,4,8.691573731895502,2.910715332265718,0.3284818758488825,0.17673010412443182,0.2326397273038328,0.2201433731933813,6.796849022602799,0.9123148641654136,13
0,1,5,8.251527882917015,2.3036123490110034,1.3129768938746622e-06,4.145288635615854,1.2020664927197215,2.37497837267687,1.9888446784310407,0.9964249362011416,10
0,1,6,11.819874429887872,4.5743262853412805,0.18614890625969022,0.07497671381458793,0.10650048661584877,0.07713370281594246,6.773627945325124,0.7466290622488233,10
0,1,7,14.701699470849633,5.565763386497124,0.13726053607019034,0.1293558256086287,0.11991417222725004,0.10773953958587223,4.694517908738169,0.6971849920063345,7
0,1,8,8.841317717142523,2.874168848540591,4.540401791763848e-06,2.852707339365864,0.6505224028434019,1.0212370680738219,3.7465025868656756,0.8084684639296804,7
0,1,9,7.415739064756466,3.5552400154942485,0.17148811658386387,4.6488131846575556,0.45740297217656645,2.2064165267451115,3.4720129198562835,0.7476894564553775,6
0,1,10,537.2095478102767,1982.4735143746063,0.06299618824309822,0.023545171351803534,0.006844634499397673,0.011018108076306486,4.305635376178767,0.5063018563466751,5
0,1,11,8.237145904298611,3.1994670049746574,7.620628747484481e-07,4.892148346044955,0.32927973791275966,0.4883948169827758,2.825777934596495,0.9708033939133436,9
0,1,12,10.725058782477142,5.648217835774923,0.1351723533724314,0.0635482064925666,0.07038892596611437,0.062428255657300244,2.7270486709838364,0.9090528642814587,7
0,2,0,9.186869303583407,4.133411437758191,3.4986305519346672e-09,3.2294285634572493,0.32160258424242216,0.4757110601824949,3.522637293753783,0.8974256859461565,8
0,2,1,7.1046088551958455,2.6732676722805637,0.21125118772033047,3.0625653214725705,0.4461832221760224,1.4981396615351905,5.658349678711394,0.8431042133244682,10
0,2,2,8.774706111608866,2.412414054730342,0.3001185295609776,0.27222153139160726,0.2946848647905084,0.3479443771678859,7.158994594070623,0.8469300479754578,12
0,2,3,11.292060664784845,3.9786482531188163,0.21293643586761446,0.068731470701206,0.10291013593797414,0.06565000382341352,9.175727332807671,0.6056756966132664,11
0,2,4,17.772768356357414,6.540780545653049,0.09449867613664675,0.04940116707418979,0.051710007133651835,0.02809407173342835,4.38787363936345,0.7341736987420968,7
0,2,5,13.419206111670402,4.170496958439193,0.18023032397292582,0.05163200949871244,0.09322639688757212,0.04401264291800107,7.146335989440616,0.7115614973193284,10
0,2,6,21.192483647881467,8.906748870481456,0.15311293637987694,0.018748538754157912,0.041967497767917306,0.020308333762348568,7.585482529146704,0.7498837934250624,11
0,2,7,34.21957393709163,9.502235442127457,0.1370927553348436,0.01200153524894193,0.02875859238743977,0.006869056976608985,7.178131635593506,0.7844799733813224,11
0,2,8,10.190309584870493,4.2457991969420155,0.00013774567516028347,4.789287856843947,0.24330337822721126,0.28879792234536905,4.420938977502352,0.8815914002431958,9
0,2,9,21.733468858081025,7.112832148331691,0.17025045084300805,0.028314982065539562,0.05024395242026447,0.01771948590419444,5.739218265294552,0.8901853421036487,11
